"いち",一,"One"
"に",二,"Two"
"く",九,"Nine"
"しち",七,"Seven"
"にん",人,"Person"
"にゅう",入,"Enter"
"はち",八,"Eight"
"りょく",力,"Power"
"じゅう",十,"Ten"
"さん",三,"Three"
"じょう",上,"Above"
"か",下,"Below"
"こう",口,"Mouth"
"たい",大,"Big"
"じょ",女,"Woman"
"さん",山,"Mountain"
"かわ",川,"River"
"こう",工,"Construction"
"とう",刀,"Sword"
"ど",土,"Dirt"
"せん",千,"Thousand"
"ゆう",夕,"Evening"
"し",子,"Child"
"しょう",小,"Small"
"ちょう",丁,"Street"
"りょう",了,"Finish"
"また",又,"Again"
"まる",丸,"Circle"
"さい",才,"Genius"
"ちゅう",中,"Middle"
"ご",五,"Five"
"ろく",六,"Six"
"えん",円,"Yen"
"てん",天,"Heaven"
"て",手,"Hand"
"ぶん",文,"Writing"
"にち",日,"Sun"
"げつ",月,"Moon"
"もく",木,"Tree"
"すい",水,"Water"
"か",火,"Fire"
"いぬ",犬,"Dog"
"おう",王,"King"
"しゅつ",出,"Exit"
"ゆう",右,"Right"
"し",四,"Four"
"さ",左,"Left"
"ほん",本,"Book"
"せい",正,"Correct"
"たま",玉,"Ball"
"た",田,"Rice Paddy"
"はく",白,"White"
"め",目,"Eye"
"せき",石,"Stone"
"りつ",立,"Stand"
"まん",万,"Ten Thousand"
"こん",今,"Now"
"げん",元,"Origin"
"こう",公,"Public"
"ない",内,"Inside"
"ぶん",分,"Part"
"せつ",切,"Cut"
"ご",午,"Noon"
"ゆう",友,"Friend"
"たい",太,"Fat"
"しょう",少,"Few"
"ひ",引,"Pull"
"しん",心,"Heart"
"と",戸,"Door"
"ほう",方,"Direction"
"ぎゅう",牛,"Cow"
"ちち",父,"Father"
"もう",毛,"Fur"
"し",止,"Stop"
"ふゆ",冬,"Winter"
"ほく",北,"North"
"はん",半,"Half"
"こ",古,"Old"
"だい",台,"Machine"
"がい",外,"Outside"
"し",市,"City"
"ひろ",広,"Wide"
"はは",母,"Mother"
"よう",用,"Task"
"や",矢,"Arrow"
"せ",世,"World"
"しゅ",主,"Master"
"た",他,"Other"
"だい",代,"Substitute"
"しゃ",写,"Copy"
"きょ",去,"Past"
"ごう",号,"Number"
"おう",央,"Center"
"へい",平,"Flat"
"だ",打,"Hit"
"こおり",氷,"Ice"
"もう",申,"Say Humbly"
"さら",皿,"Plate"
"れい",礼,"Thanks"
"きゅう",休,"Rest"
"せん",先,"Previous"
"めい",名,"Name"
"じ",字,"Letter"
"ねん",年,"Year"
"そう",早,"Early"
"き",気,"Energy"
"ひゃく",百,"Hundred"
"たけ",竹,"Bamboo"
"いと",糸,"Thread"
"みみ",耳,"Ear"
"むし",虫,"Insect"
"むら",村,"Village"
"だん",男,"Man"
"ちょう",町,"Town"
"はな",花,"Flower"
"み",見,"See"
"かい",貝,"Shellfish"
"あか",赤,"Red"
"そく",足,"Foot"
"しゃ",車,"Car"
"ふ",不,"Not"
"し",仕,"Doing"
"せい",生,"Life"
"のま",々,"Repeater"
"ほう",宝,"Treasure"
