"たい",待,"Wait"
"そう",争,"Conflict"
"なか",仲,"Relationship"
"でん",伝,"Transmit"
"きょう",共,"Together"
"こう",好,"Like"
"せい",成,"Become"
"ろう",老,"Elderly"
"い",位,"Rank"
"てい",低,"Low"
"しょ",初,"First"
"べつ",別,"Separate"
"り",利,"Profit"
"ど",努,"Toil"
"ろう",労,"Labor"
"めい",命,"Fate"
"がん",岸,"Coast"
"ほう",放,"Release"
"むかし",昔,"Long Ago"
"は",波,"Wave"
"ちゅう",注,"Pour"
"いく",育,"Nurture"
"ひろ",拾,"Pick Up"
"し",指,"Finger"
"よう",洋,"Western Style"
"しん",神,"God"
"びょう",秒,"Second"
"きゅう",級,"Level"
"お",追,"Follow"
"せん",戦,"War"
"きょう",競,"Compete"
"りょう",良,"Good"
"こう",功,"Achievement"
"とく",特,"Special"
"べん",便,"Convenience"
"どう",働,"Work"
"れい",令,"Orders"
"い",意,"Idea"
"み",味,"Flavor"
"べん",勉,"Exertion"
"てい",庭,"Garden"
"そく",息,"Breath"
"りょ",旅,"Trip"
"こん",根,"Root"
"りゅう",流,"Stream"
"しょう",消,"Extinguish"
"ばい",倍,"Double"
"いん",員,"Member"
"しま",島,"Island"
"さい",祭,"Festival"
"しょう",章,"Chapter"
"だい",第,"Ordinal Number Prefix"
"と",都,"Metropolis"
"どう",動,"Move"
"しょう",商,"Merchandise"
"あく",悪,"Bad"
"ぞく",族,"Tribe"
"しん",深,"Deep"
"きゅう",球,"Sphere"
"どう",童,"Juvenile"
"よう",陽,"Sunshine"
"かい",階,"Floor"
"さむ",寒,"Cold"
"ひ",悲,"Sad"
"あつ",暑,"Hot"
"き",期,"Period Of Time"
"しょく",植,"Plant"
"は",歯,"Tooth"
"おん",温,"Warm"
"こう",港,"Harbor"
"ゆ",湯,"Hot Water"
"とう",登,"Climb"
"ちゃく",着,"Wear"
"たん",短,"Short"
"や",野,"Field"
"せん",泉,"Spring"
"ごう",合,"Suit"
"もん",問,"Problem"
"しゅく",宿,"Lodge"
"そう",想,"Concept"
"かん",感,"Feeling"
"せい",整,"Arrange"
"あん",暗,"Dark"
"さま",様,"Formal Name Title"
"はし",橋,"Bridge"
"ふく",福,"Luck"
"みどり",緑,"Green"
"れん",練,"Practice"
"し",詩,"Poem"
"ぎん",銀,"Silver"
"だい",題,"Topic"
"かん",館,"Public Building"
"えき",駅,"Station"
"おく",億,"Hundred Million"
"き",器,"Container"
"し",士,"Samurai"
"りょう",料,"Fee"
"ひょう",標,"Signpost"
"さつ",殺,"Kill"
"ぜん",然,"Nature"
"ねつ",熱,"Heat"
"か",課,"Section"
"しょう",賞,"Prize"
"りん",輪,"Wheel"
"せん",選,"Choose"
"かがみ",鏡,"Mirror"
"がん",願,"Request"
"よう",養,"Foster"
"ぞう",像,"Statue"
"じょう",情,"Feeling"
"しゃ",謝,"Apologize"
"えい",映,"Reflect"
"ぎ",疑,"Doubt"
"みな",皆,"All"
"れい",例,"Example"
"そつ",卒,"Graduate"
"きょう",協,"Cooperation"
"さん",参,"Participate"
"しゅう",周,"Circumference"
"い",囲,"Surround"
"こ",固,"Hard"
"き",季,"Seasons"
"かん",完,"Perfect"
"き",希,"Wish"
"ねん",念,"Thought"
"せつ",折,"Fold"
"ぼう",望,"Hope"
"ざい",材,"Lumber"
"そく",束,"Bundle"
"まつ",松,"Pine"
"ざん",残,"Remainder"
"てき",的,"Target"
"やく",約,"Promise"
"げい",芸,"Acting"
"き",基,"Foundation"
"せい",性,"Gender"
"ぎ",技,"Skill"
"かく",格,"Status"
"のう",能,"Ability"
"じゅつ",術,"Art"
"こつ",骨,"Bone"
"だ",妥,"Gentle"
"ふん",雰,"Atmosphere"
"がん",頑,"Stubborn"
"てら",寺,"Temple"
"いわ",岩,"Boulder"
"かえ",帰,"Return"
"はる",春,"Spring"
"ひる",昼,"Noon"
"は",晴,"Clear Up"
"あき",秋,"Autumn"
"けい",計,"Measure"
"れつ",列,"Row"
"く",区,"District"
"さか",坂,"Slope"
"しき",式,"Ritual"
"しん",信,"Believe"
"ゆう",勇,"Courage"
"たん",単,"Simple"
"し",司,"Director"
"へん",変,"Change"
"ふう",夫,"Husband"
"けん",建,"Build"
"さく",昨,"Previous"
"どく",毒,"Poison"
"ほう",法,"Method"
"な",泣,"Cry"
"あさ",浅,"Shallow"
"き",紀,"Account"
"えい",英,"England"
"ぐん",軍,"Army"
"はん",飯,"Meal"
"ぶつ",仏,"Buddha"
"ちく",築,"Construct"
"ばん",晩,"Night"
"ねこ",猫,"Cat"
"えん",園,"Garden"
"よう",曜,"Weekday"
"しょ",書,"Write"
"えん",遠,"Far"
"もん",門,"Gates"
"けい",係,"Connection"
"しゅ",取,"Take"
"ひん",品,"Product"
"す",守,"Protect"
"こう",幸,"Happiness"
"きゅう",急,"Hurry"
"しん",真,"Reality"
"はこ",箱,"Box"
"に",荷,"Luggage"
"めん",面,"Face"
"てん",典,"Rule"
"き",喜,"Rejoice"
"ふ",府,"Government"
"じ",治,"Cure"
"よく",浴,"Bathe"
"わら",笑,"Laugh"
"じ",辞,"Quit"
"かん",関,"Related"
"べん",弁,"Dialect"
"せい",政,"Politics"
"る",留,"Detain"
"しょう",証,"Evidence"
"けん",険,"Risky"
"き",危,"Dangerous"
"そん",存,"Exist"
"せん",専,"Specialty"
"ぼう",冒,"Dare"
"じょう",冗,"Superfluous"
"はん",阪,"Heights"
"げん",原,"Original"
