"きゅう",久,"Long Time"
"り",離,"Detach"
"ゆう",融,"Dissolve"
"へん",編,"Knit"
"か",華,"Showy"
"き",既,"Previously"
"ふ",普,"Normal"
"ごう",豪,"Luxurious"
"かん",鑑,"Model"
"じょ",除,"Exclude"
"じん",尋,"Inquire"
"いく",幾,"How Many"
"ろう",廊,"Corridor"
"そう",掃,"Sweep"
"でい",泥,"Mud"
"ぼう",棒,"Pole"
"きょう",驚,"Surprised"
"たん",嘆,"Sigh"
"そう",倉,"Warehouse"
"そん",孫,"Grandchild"
"す",巣,"Nest"
"たい",帯,"Belt"
"けい",径,"Diameter"
"きゅう",救,"Rescue"
"さん",散,"Scatter"
"ふん",粉,"Powder"
"みゃく",脈,"Vein"
"さい",菜,"Vegetable"
"か",貨,"Freight"
"りく",陸,"Land"
"ね",似,"Resemble"
"きん",均,"Equal"
"ぼ",墓,"Grave"
"ふ",富,"Rich"
"とく",徳,"Virtue"
"たん",探,"Look For"
"てい",偵,"Spy"
"じょ",序,"Preface"
"げい",迎,"Welcome"
"し",志,"Intention"
"おん",恩,"Kindness"
"さい",採,"Gather"
"さくら",桜,"Sakura"
"えい",永,"Eternity"
"えき",液,"Fluid"
"がん",眼,"Eyeball"
"そ",祖,"Ancestor"
"せき",績,"Exploits"
"きょう",興,"Interest"
"えい",衛,"Defense"
"ふく",複,"Duplicate"
"ざつ",雑,"Random"
"さん",賛,"Agree"
"さん",酸,"Acid"
"せん",銭,"Coin"
"か",飼,"Domesticate"
"しょう",傷,"Wound"
"とう",党,"Party"
"たまご",卵,"Egg"
"げん",厳,"Strict"
"す",捨,"Throw Away"
"こ",込,"Crowded"
"みつ",密,"Secrecy"
"お",汚,"Dirty"
"よく",欲,"Want"
"だん",暖,"Warm"
"つくえ",机,"Desk"
"ひ",秘,"Secret"
"やく",訳,"Translation"
"せん",染,"Dye"
"かん",簡,"Simplicity"
"へい",閉,"Closed"
"し",誌,"Magazine"
"まど",窓,"Window"
"ひ",否,"No"
"きん",筋,"Muscle"
"すい",垂,"Dangle"
"せん",宣,"Proclaim"
"そん",尊,"Revered"
"ちゅう",忠,"Loyalty"
"かく",拡,"Extend"
"そう",操,"Manipulate"
"けい",敬,"Respect"
"ぼ",暮,"Livelihood"
"はい",灰,"Ashes"
"じゅく",熟,"Ripen"
"い",異,"Differ"
"こう",皇,"Emperor"
"せい",盛,"Pile"
"さ",砂,"Sand"
"ばく",漠,"Desert"
"とう",糖,"Sugar"
"のう",納,"Supply"
"はい",肺,"Lung"
"ちょ",著,"Author"
"じょう",蒸,"Steam"
"ぞう",蔵,"Storehouse"
"そう",装,"Attire"
