"そん",遜,"Humble"
"うかが",伺,"Pay Respects"
"てつ",徹,"Penetrate"
"せ",瀬,"Rapids"
"てつ",撤,"Withdrawal"
"そ",措,"Set Aside"
"きょ",拠,"Based On"
"ぎ",儀,"Ceremony"
"じゅ",樹,"Wood"
"き",棄,"Abandon"
"とら",虎,"Tiger"
"ほたる",蛍,"Firefly"
"はち",蜂,"Bee"
"ちゅう",酎,"Sake"
"みつ",蜜,"Honey"
"きょ",墟,"Ruins"
"かん",艦,"Warship"
"せん",潜,"Conceal"
"けん",拳,"Fist"
"たん",炭,"Charcoal"
"はたけ",畑,"Field"
"ほう",包,"Wrap"
"い",衣,"Clothes"
"じん",仁,"Humanity"
"こう",鉱,"Mineral"
"し",至,"Attain"
"せい",誠,"Sincerity"
"きょう",郷,"Hometown"
"しん",侵,"Invade"
"ぎ",偽,"Fake"
"こく",克,"Overcome"
"とう",到,"Arrival"
"そう",双,"Pair"
"てつ",哲,"Philosophy"
"そう",喪,"Mourning"
"かた",堅,"Solid"
"しょう",床,"Floor"
"かつ",括,"Fasten"
"こ",弧,"Arc"
"ちょう",挑,"Challenge"
"くつ",掘,"Dig"
"あ",揚,"Hoist"
"あく",握,"Grip"
"よう",揺,"Shake"
"さい",斎,"Purification"
"ざん",暫,"Temporarily"
"せき",析,"Analysis"
"すう",枢,"Hinge"
"じく",軸,"Axis"
"がら",柄,"Pattern"
"はく",泊,"Overnight"
"かつ",滑,"Slippery"
"かた",潟,"Lagoon"
"しょう",焦,"Char"
"はん",範,"Example"
"ふん",紛,"Distract"
"きゅう",糾,"Twist"
"つな",綱,"Cable"
"もう",網,"Netting"
"かん",肝,"Liver"
"しば",芝,"Lawn"
"あ",荒,"Wild"
"ふくろ",袋,"Sack"
"だれ",誰,"Who"
"ちん",珍,"Rare"
"れつ",裂,"Split"
"しゅう",襲,"Attack"
"こう",貢,"Tribute"
"しゅ",趣,"Charm"
"きょ",距,"Distance"
"せき",籍,"Enroll"
"ろ",露,"Expose"
"ぼく",牧,"Pasture"
"さつ",刷,"Printing"
"ろう",朗,"Bright"
"ちょう",潮,"Tide"
"そく",即,"Instant"
"かき",垣,"Hedge"
"い",威,"Majesty"
"ふう",封,"Seal"
"とう",筒,"Cylinder"
"がく",岳,"Peak"
"い",慰,"Consolation"
"こん",懇,"Courteous"
"ちょう",懲,"Chastise"
"ま",摩,"Chafe"
"さつ",擦,"Grate"
"ぼく",撲,"Slap"
"せい",斉,"Simultaneous"
"し",旨,"Point"
"じゅう",柔,"Gentle"
"ちん",沈,"Sink"
"ぬま",沼,"Bog"
"たい",泰,"Peace"
"めつ",滅,"Destroy"
"じ",滋,"Nourishing"
"ろ",炉,"Furnace"
"こと",琴,"Harp"
"すん",寸,"Measurement"
"りゅう",竜,"Dragon"
"えん",縁,"Edge"
"よく",翼,"Wing"
"きつ",吉,"Good Luck"
"は",刃,"Blade"
"にん",忍,"Endure"
"もも",桃,"Peach"
"しん",辛,"Spicy"
"なぞ",謎,"Riddle"
"さむらい",侍,"Samurai"
"おれ",俺,"I"
"しか",叱,"Scold"
"ご",娯,"Recreation"
"と",斗,"Ladle"
"しゅ",朱,"Vermillion"
"きゅう",丘,"Hill"
"なし",梨,"Pear"
"ひき",匹,"Small Animal"
"きょう",叫,"Shout"
"つ",釣,"Fishing"
"かみ",髪,"Hair"
"あらし",嵐,"Storm"
"かさ",笠,"Conical Hat"
"るい",涙,"Teardrop"
"かん",缶,"Can"
"ひめ",姫,"Princess"
"たな",棚,"Shelf"
"りゅう",粒,"Grains"
"ほう",砲,"Cannon"
"らい",雷,"Thunder"
"め",芽,"Sprout"
"とう",塔,"Tower"
"す",澄,"Lucidity"
"む",矛,"Spear"
"はだ",肌,"Skin"
"ふね",舟,"Boat"
"しょう",鐘,"Bell"
"きょう",凶,"Villain"
"かたまり",塊,"Lump"
"か",狩,"Hunt"
"ころ",頃,"Approximate"
"こん",魂,"Soul"
"きゃく",脚,"Leg"
"なり",也,"Considerably"
"しょう",井,"Well"
"のろ",呪,"Curse"
"じょう",嬢,"Miss"
"れき",暦,"Calendar"
"くも",曇,"Cloudy"
"ちょう",眺,"Stare"
"ら",裸,"Naked"
"か",賭,"Gamble"
"ひ",疲,"Exhausted"
"じゅく",塾,"Cram School"
"たく",卓,"Table"
"みが",磨,"Polish"
"きん",菌,"Bacteria"
"いん",陰,"Shade"
"れい",霊,"Ghost"
"しつ",湿,"Damp"
"こう",硬,"Stiff"
"か",稼,"Earnings"
"よめ",嫁,"Bride"
"こう",溝,"Gutter"
"たき",滝,"Waterfall"
"きょう",狂,"Lunatic"
"かけ",翔,"Fly"
"すみ",墨,"Black Ink"
"はと",鳩,"Dove"
"おん",穏,"Calm"
"どん",鈍,"Dull"
"ま",魔,"Devil"
"りょう",寮,"Dormitory"
"ぼん",盆,"Lantern Festival"
"とう",棟,"Pillar"
"わが",吾,"I"
"ざん",斬,"Slice"
"ねい",寧,"Rather"
"い",椅,"Chair"
"さい",歳,"Years Old"
"りょう",涼,"Cool"
"さる",猿,"Monkey"
"どう",瞳,"Pupil"
"かぎ",鍵,"Key"
"れい",零,"Zero"
"ご",碁,"Go"
"そ",租,"Tariff"
"ゆう",幽,"Secluded"
"ほう",泡,"Bubbles"
"くせ",癖,"Habit"
"たん",鍛,"Forge"
"れん",錬,"Tempering"
"ほ",穂,"Head of Plant"
"てい",帝,"Sovereign"
"しゅん",瞬,"Blink"
"きく",菊,"Chrysanthemum"
"こ",誇,"Pride"
"しょう",庄,"Manor"
"そ",阻,"Thwart"
"もく",黙,"Shut Up"
"ひょう",俵,"Sack"
"めん",綿,"Cotton"
"か",架,"Shelf"
"さい",砕,"Smash"
"ねん",粘,"Sticky"
"しょう",粧,"Cosmetics"
"ぎ",欺,"Deceit"
"さ",詐,"Lie"
"きり",霧,"Fog"
"りゅう",柳,"Willow"
"い",伊,"Italy"
"さ",佐,"Help"
"しゃく",尺,"Shaku"
"あい",哀,"Pathetic"
"くちびる",唇,"Lips"
"へい",塀,"Fence"
"つい",墜,"Crash"
"じょ",如,"Likeness"
"ば",婆,"Old Woman"
"がい",崖,"Cliff"
"ぼう",帽,"Hat"
"へい",幣,"Cash"
"こん",恨,"Grudge"
"ぞう",憎,"Hate"
"けい",憩,"Rest"
"せん",扇,"Folding Fan"
"ひ",扉,"Front Door"
"そう",挿,"Insert"
"しょう",掌,"Manipulate"
"てき",滴,"Drip"
"すい",炊,"Cook"
"さわ",爽,"Refreshing"
"じょう",畳,"Tatami Mat"
"りょう",瞭,"Clear"
"はし",箸,"Chopsticks"
"どう",胴,"Torso"
"しん",芯,"Wick"
"にじ",虹,"Rainbow"
"ちょう",帳,"Notebook"
"か",蚊,"Mosquito"
"へび",蛇,"Snake"
"は",貼,"Paste"
"じょく",辱,"Humiliate"
"はち",鉢,"Bowl"
"やみ",闇,"Darkness"
"すき",隙,"Crevice"
"しも",霜,"Frost"
"き",飢,"Starve"
"が",餓,"Starve"
"ちく",畜,"Livestock"
"じん",迅,"Swift"
