"いち",一,"One"
"ひとつ",一つ,"One Thing"
"なな",七,"Seven"
"ななつ",七つ,"Seven Things"
"きゅう",九,"Nine"
"ここのつ",九つ,"Nine Things"
"に",二,"Two"
"ふたつ",二つ,"Two Things"
"ひと",人,"Person"
"ふたり",二人,"Two People"
"ひとり",一人,"Alone"
"はいる",入る,"To Enter"
"いれる",入れる,"To Insert"
"はち",八,"Eight"
"やっつ",八つ,"Eight Things"
"ちから",力,"Power"
"じゅう",十,"Ten"
"さん",三,"Three"
"みっつ",三つ,"Three Things"
"さんにん",三人,"Three People"
"うえ",上,"Up"
"あげる",上げる,"To Raise"
"あがる",上がる,"To Rise"
"のぼる",上る,"To Climb"
"した",下,"Down"
"さがる",下がる,"To Get Lower"
"さげる",下げる,"To Lower"
"ください",下さい,"Please Give Me"
"くち",口,"Mouth"
"いりぐち",入り口,"Entrance"
"おおきい",大きい,"Big"
"おおきさ",大きさ,"Size"
"たいした",大した,"Great"
"おとな",大人,"Adult"
"おんな",女,"Woman"
"やま",山,"Mountain"
"ふじさん",ふじ山,"Mt Fuji"
"かわ",川,"River"
"じんこう",人口,"Population"
"じんこう",人工,"Artificial"
