"じょしゅ",助手,"Assistant"
"けんきゅうしつ",研究室,"Laboratory"
"はじめる",始める,"To Begin"
"おきる",起きる,"To Wake Up"
"さっそく",早速,"At Once"
"そくど",速度,"Speed"
"くばる",配る,"To Distribute"
"おさけ",お酒,"Sake"
"にほんしゅ",日本酒,"Japanese Style Alcohol"
"びょういん",病院,"Hospital"
"がくいん",学院,"Academy"
"おわる",終わる,"To End"
"しゅうてん",終点,"Last Stop"
"しゅうりょう",終了,"End"
"さいしゅう",最終,"Last"
"ならう",習う,"To Learn"
"ころがる",転がる,"To Roll"
"じてんしゃ",自転車,"Bicycle"
"うんてんする",運転する,"To Drive"
"てんそう",転送,"Transfer"
"かいてん",回転,"Rotation"
"すすむ",進む,"To Advance"
"しんか",進化,"Evolution"
"しんこう",進行,"Advance"
"おちる",落ちる,"To Fall Down"
"あおば",青葉,"Fresh Leaves"
"かるい",軽い,"Lightweight"
"はこぶ",運ぶ,"To Carry"
"うんがいい",運がいい,"Lucky"
"あける",開ける,"To Open"
"こうかい",公開,"Open To The Public"
"かいぎょう",開業,"Opening A Business"
"かいはつ",開発,"Development"
"あつめる",集める,"To Collect"
"しゅうちゅう",集中,"Concentration"
"しゅうきん",集金,"Collecting Money"
"のむ",飲む,"To Drink"
"こうぎょう",工業,"Industry"
"かんじ",漢字,"Kanji"
"どうろ",道路,"Paved Road"
"せんろ",線路,"Railroad Track"
"ろじ",路地,"Alley"
"のうみん",農民,"Peasants"
"のうぎょう",農業,"Agriculture"
"ちかてつ",地下鉄,"Subway"
"てつじん",鉄人,"Strong Man"
"でんてつ",電鉄,"Electric Railway"
"うた",歌,"Song"
"かしゅ",歌手,"Singer"
"さんすう",算数,"Arithmetic"
"さんていする",算定する,"To Calculate"
"きく",聞く,"To Hear"
"しんぶん",新聞,"Newspaper"
"にほんご",日本語,"Japanese Language"
"ふらんすご",フランス語,"French Language"
"すぺいんご",スペイン語,"Spanish Language"
"しゅご",主語,"Subject"
"よむ",読む,"To Read"
"よみかた",読み方,"Reading"
"なく",鳴く,"To Chirp"
"せん",線,"Line"
"よこ",横,"Side"
"ちょうし",調子,"Condition"
"きょうちょう",強調,"Emphasis"
"しらべる",調べる,"To Investigate"
"おや",親,"Parent"
"したしい",親しい,"Intimate"
"しんせつ",親切,"Kind"
"しんゆう",親友,"Close Friend"
"あたま",頭,"Head"
"かお",顔,"Face"
"かおつき",顔付き,"Expression"
"びょうき",病気,"Sick"
"びょう",〜病,"Disease"
"びょうにん",病人,"Sick Person"
"もっとも",最も,"The Most"
"さいこう",最高,"The Best"
"さいご",最後,"Last"
"さいきん",最近,"Recent"
"がいらいご",外来語,"Foreign Word"
"あてじ",当て字,"Phonetic Kanji"
"めいしゃ",目医者,"Eye Doctor"
"いちばんめ",一番目,"First Thing"
"たのしみ",楽しみ,"Looking Forward To"
"むけ",〜向け,"Made For"
"けんきゅうしょ",研究所,"Research Institute"
"ちかみち",近道,"Shortcut"
"たすかる",助かる,"To Be Helped"
"たのしむ",楽しむ,"To Enjoy"
"きまる",決まる,"To Be Decided"
"なげつける",投げ付ける,"To Throw Against"
"ばかす",化かす,"To Bewitch"
"はなし",話,"Story"
"であう",出会う,"To Meet By Chance"
"しんぱい",心配,"A Worry"
"もとめる",求める,"To Want"
"きゅうじん",求人,"Help Wanted"
"してつ",私鉄,"Private Railway"
"ようきゅう",要求,"Demand"
"しだい",私大,"Private College"
"かいし",開始,"Start"
"きょくせん",曲線,"Curve"
"げんご",言語,"Language"
"はやい",速い,"Fast"
"ちば",千葉,"Chiba"
"おもわず",思わず,"Unintentionally"
"たちのみ",立ち飲み,"Standing And Drinking"
"さぎょう",作業,"Work"
"やむ",病む,"To Be Sick"
"にゅういん",入院,"Hospitalization"
"は",葉,"Leaf"
"やくば",役場,"Town Hall"
"くちょう",口調,"Tone"
"かたる",語る,"To Talk"
"だいどころ",台所,"Kitchen"
"のうじょう",農場,"Farm"
"だいがくいん",大学院,"Graduate School"
"けさ",今朝,"This Morning"
"きんじょ",近所,"Neighborhood"
"たしざん",足し算,"Addition"
"ひきざん",引き算,"Subtraction"
"ばんごうふだ",番号札,"Numbered Tag"
