"うりあげ",売り上げ,"Amount Sold"
"うりきれ",売り切れ,"Sold Out"
"うりて",売り手,"Seller"
"ほんもの",本物,"Real Thing"
"のりもの",乗り物,"Vehicle"
"かねもち",金持ち,"Rich Person"
"きもち",気持ち,"Feeling"
"ほうそうする",放送する,"To Broadcast"
"ものがたり",物語,"Tale"
"あらそう",争う,"To Compete"
"せんそう",戦争,"War"
"きょうそう",競争,"Competition"
"なかま",仲間,"Companion"
"なか",仲,"Relationship"
"なかなおり",仲直り,"Reconciliation"
"つたえる",伝える,"To Transmit"
"きょうつうてん",共通点,"Common Point"
"きょうどう",共同,"Cooperation"
"こうきょう",公共,"Public"
"きょうゆう",共有,"Shared"
"すき",好き,"Like"
"ゆうこう",友好,"Friendship"
"なる",成る,"To Become"
"せいこう",成功,"Success"
"ろうじん",老人,"Old Person"
"い",〜位,"Rank"
"いちい",一位,"First Place"
"しゅい",首位,"First Place"
"ひくい",低い,"Low"
"さいてい",最低,"The Lowest"
"しょかい",初回,"The First Time"
"さいしょ",最初,"The First"
"べつの",別の,"Separate"
"べつに",別に,"Not Particularly"
"べつじん",別人,"Different Person"
"べつべつ",別々,"Separately"
"とくべつ",特別,"Special"
"きく",利く,"To Work Well"
"べんり",便利,"Convenient"
"どりょく",努力,"Great Effort"
"ろうどう",労働,"Manual Labor"
"くろう",苦労,"Hardship"
"ろうどうしゃ",労働者,"Laborer"
"いのち",命,"Life"
"うんめい",運命,"Fate"
"めいれい",命令,"Order"
"かいがん",海岸,"Seashore"
"はなす",放す,"To Release"
"かいほうする",開放する,"To Open Up"
"むかし",昔,"Long Ago"
"でんぱ",電波,"Reception"
"そそぐ",注ぐ,"To Pour"
"ちゅうい",注意,"Caution"
"ちゅうもん",注文,"Order"
"しゅうちゅうする",集中する,"To Concentrate"
"そだつ",育つ,"To Be Raised"
"きょういく",教育,"Education"
"ひろう",拾う,"To Pick Up"
"さす",指す,"To Point"
"ゆび",指,"Finger"
"していする",指定する,"To Appoint"
"ようふう",洋風,"Western Style"
"ようふく",洋服,"Clothes"
"たいへいよう",太平洋,"Pacific Ocean"
"ようしょく",洋食,"Western Food"
"ようしつ",洋室,"Western Style Room"
"かみ",神,"God"
"しんとう",神道,"Shinto"
"じんじゃ",神社,"Shinto Shrine"
"びょう",秒,"Second"
"こうきゅう",高級,"High Class"
"しょきゅう",初級,"Beginner Level"
"ちゅうきゅう",中級,"Intermediate Level"
"じょうきゅう",上級,"Advanced Level"
"おう",追う,"To Follow"
"たたかい",戦い,"Battle"
"さくせん",作戦,"Tactics"
"せんしゃ",戦車,"Tank"
"せんじょう",戦場,"Battlefield"
"きそう",競う,"To Compete"
"よい",良い,"Good"
"とくに",特に,"Especially"
"ふべん",不便,"Inconvenient"
"べんじょ",便所,"Toilet"
"はたらく",働く,"To Work"
"いけん",意見,"Opinion"
"いみ",意味,"Meaning"
"あじ",味,"Taste"
"やすうり",安売り,"Sell Cheaply"
"しかえし",仕返し,"Getting Even"
"かえる",返る,"To Be Returned"
"のりば",乗り場,"Bus Stop"
"つかいかた",使い方,"How To Use"
"しごと",仕事,"Job"
"まけいぬ",負け犬,"Loser"
"かち",勝ち,"Victory"
"けっていする",決定する,"To Decide"
"くるしむ",苦しむ,"To Suffer"
"きづく",気付く,"To Realize"
"みおくる",見送る,"To See Off"
"ときどき",時々,"Sometimes"
"うけつけ",受付,"Receptionist"
"かいもの",買い物,"Shopping"
"にがて",苦手,"Hard To Deal With"
"つたわる",伝わる,"To Be Transmitted"
"ふりょう",不良,"Bad"
"きもちいい",気持ちいい,"Good Feeling"
"ためす",試す,"To Attempt"
"にゅうがくしけん",入学試験,"Entrance Exam"
"いがい",意外,"Unexpected"
"つき",〜付き,"Including"
"みかた",味方,"Ally"
"はつばいちゅう",発売中,"Now For Sale"
"たべもの",食べ物,"Food"
"なみ",波,"Wave"
"ちょうどいい",丁度いい,"Just Right"
"ほじする",保持する,"To Maintain"
"かよう",通う,"To Commute"
"おくじょう",屋上,"Rooftop"
"したく",支度,"Preparation"
"ようい",用意,"Preparation"
"けんぶつ",見物,"Sightseeing"
"あらかじめ",予め,"Beforehand"
"ひらがな",平仮名,"Hiragana"
"もじどおり",文字通り,"Literal"
"しょほ",初歩,"Basics"
"あらた",新た,"New"
"せいよう",西洋,"The West"
"べつ",別,"Different"
"こころもち",心持ち,"Feeling"
"むかしばなし",昔話,"Folk Tale"
"みごと",見事,"Splendid"
"せいぶつがく",生物学,"Biology"
"でんき",伝記,"Biography"
