"はじまる",始まる,"To Begin"
"はじめに",始めに,"In The Beginning"
"まつ",待つ,"To Wait"
"べんきょう",勉強,"Studies"
"かてい",家庭,"Family"
"にわ",庭,"Garden"
"いき",息,"Breath"
"むすこ",息子,"Son"
"りそく",利息,"Interest"
"たび",旅,"Trip"
"りょこう",旅行,"Trip"
"ね",根,"Root"
"こんぽん",根本,"Root"
"やね",屋根,"Roof"
"こんき",根気,"Patience"
"だいこん",大根,"Daikon"
"ながす",流す,"To Flow"
"りゅうこう",流行,"Trend"
"いちりゅう",一流,"First Rate"
"ほんりゅう",本流,"Mainstream"
"けす",消す,"To Extinguish"
"ばい",〜倍,"Times"
"にばい",二倍,"Double"
"てんいん",店員,"Shop Staff"
"ぜんいん",全員,"All Members"
"しゃいん",社員,"Employee"
"かいしゃいん",会社員,"Company Employee"
"ひろしま",広島,"Hiroshima"
"まつり",祭,"Festival"
"ぶんしょう",文章,"Writing"
"だいにしょう",第二章,"Chapter Two"
"だいいち",第一,"The First"
"だいいちい",第一位,"First Place"
"とうきょうと",東京都,"Tokyo Metropolis"
"きょうと",京都,"Kyoto"
"うごく",動く,"To Move"
"どうぶつ",動物,"Animal"
"うんどう",運動,"Exercise"
"しょうばい",商売,"Business"
"しょうにん",商人,"Merchant"
"わるい",悪い,"Bad"
"あくにん",悪人,"Bad Person"
"あくじょ",悪女,"Evil Woman"
"さいあく",最悪,"The Worst"
"かぞく",家族,"Family"
"みんぞく",民族,"Ethnic Group"
"けつぞく",血族,"Blood Relative"
"ふかい",深い,"Deep"
"しんや",深夜,"Middle Of The Night"
"すいしん",水深,"Water Depth"
"さいしん",最深,"Deepest"
"たま",球,"Sphere"
"やきゅう",野球,"Baseball"
"どうわ",童話,"Children's Story"
"たいよう",太陽,"Sun"
"いっかい",一階,"First Floor"
"にかい",二階,"Second Floor"
"よんじゅうにかい",四十二階,"Forty Second Floor"
"さむい",寒い,"Cold"
"あつい",暑い,"Hot Weather"
"きたい",期待,"Expectation"
"がっき",学期,"School Term"
"じき",時期,"Time"
"しょくぶつ",植物,"Plant"
"はいしゃ",歯医者,"Dentist"
"むしば",虫歯,"Cavity"
"は",歯,"Tooth"
"あたたかい",温かい,"Warm"
"おんせん",温泉,"Hot Springs"
"おんど",温度,"Temperature"
"くうこう",空港,"Airport"
"ちゃのゆ",茶の湯,"Tea Ceremony"
"ゆげ",湯気,"Steam"
"のぼる",登る,"To Climb"
"とざん",登山,"Mountain Climbing"
"きる",着る,"To Wear"
"つく",着く,"To Arrive"
"みじかい",短い,"Short"
"たんとう",短刀,"Short Sword"
"たんき",短期,"Short Period"
"いずみ",泉,"Spring"
"あう",合う,"To Suit"
"さけのみ",酒飲み,"Alcoholic"
"なきごえ",鳴き声,"Animal Cry"
"のみもの",飲み物,"Beverage"
"きこえる",聞こえる,"Hearable"
"しんぱいごと",心配事,"Cares"
"おんよみ",音読み,"Chinese Reading"
"うんてんしゅ",運転手,"Driver"
"おちば",落ち葉,"Fallen Leaves"
"ちちおや",父親,"Father"
"ははおや",母親,"Mother"
"さんばんめ",三番目,"Third Thing"
"はなしかた",話し方,"Way Of Speaking"
"ころぶ",転ぶ,"To Fall Over"
"あつまる",集まる,"To Come Together"
"おとす",落とす,"To Drop Something"
"おわり",終わり,"The End"
"しゅうでん",終電,"Last Train"
"あく",開く,"To Open"
"おこる",起こる,"To Occur"
"しんぱいする",心配する,"To Worry"
"なる",鳴る,"To Ring"
"うたう",歌う,"To Sing"
"かって",勝手,"As One Pleases"
"つごう",都合,"At Your Convenience"
"ようきゅうする",要求する,"To Demand"
"しょうか",消化,"Digestion"
"うん",運,"Luck"
"きおん",気温,"Temperature"
"かい",〜階,"Floor"
"とし",都市,"City"
"ことば",言葉,"Word"
"ぼく",僕,"I"
"ちきゅう",地球,"The Earth"
"たしろじま",田代島,"Tashirojima"
"かいいん",会員,"Member"
"せんいん",船員,"Sailor"
"とかい",都会,"City"
"しま",島,"Island"
"おち",落ち,"Conclusion"
"ようき",陽気,"Cheerful"
"きかん",期間,"Period"
"こうどう",行動,"Action"
"あつまり",集まり,"Gathering"
"うえる",植える,"To Plant"
"おやぶん",親分,"Boss"
"かおもじ",顔文字,"Kaomoji"
"だいがくいんせい",大学院生,"Graduate Student"
"みなと",港,"Harbor"
"ゆ",湯,"Hot Water"
"かつどう",活動,"Action"
"さいじつ",祭日,"National Holiday"
"ちゃくちゃく",着々,"Steadily"
