"なかよし",仲良し,"Good Friend"
"こゆび",小指,"Little Finger"
"なかよく",仲良く,"Friendly"
"さけずき",酒好き,"Drinker"
"そうぞうする",想像する,"To Imagine"
"えいぞう",映像,"Picture"
"がぞう",画像,"Image"
"いちおく",一億,"One Hundred Million"
"いちおくえん",一億円,"One Hundred Million Yen"
"おく",億,"Hundred Million"
"もんだい",問題,"Problem"
"ぎもん",疑問,"Doubt"
"うつわ",器,"Container"
"きよう",器用,"Dextrous"
"がっき",楽器,"Musical Instrument"
"しょっき",食器,"Tableware"
"りきし",力士,"Sumo Wrestler"
"しゅくだい",宿題,"Homework"
"しんじゅく",新宿,"Shinjuku"
"じじょう",事情,"Circumstances"
"にんじょう",人情,"Humanity"
"なさけ",情け,"Pity"
"かんじょう",感情,"Feeling"
"よそう",予想,"Expectation"
"かいそう",回想,"Retrospection"
"しそう",思想,"Thought"
"ごかん",五感,"The Five Senses"
"どうかん",同感,"Sympathy"
"のみかい",飲み会,"Drinking Party"
"みかえる",見返る,"To Look Back At"
"はじめに",初めに,"Beginning"
"はじめて",初めて,"For The First Time"
"かみかぜ",神風,"Kamikaze"
"てつだう",手伝う,"To Help"
"ひだりきき",左利き,"Left Handed"
"たいいく",体育,"PE Class"
"みぎきき",右利き,"Right Handed"
"そだてる",育てる,"To Bring Up"
"おいつく",追い付く,"To Catch Up With"
"たたかう",戦う,"To Fight"
"おいかける",追いかける,"To Chase"
"ちゅうもんする",注文する,"To Order"
"だいすき",大好き,"Really Like"
"はなれる",放れる,"To Be Released"
"かんじ",感じ,"Feeling"
"かんじる",感じる,"To Feel"
"かんどうする",感動する,"To Be Emotionally Moved"
"かんしん",感心,"Admiration"
"かんそう",感想,"Impressions"
"かんしゃ",感謝,"Thanks"
"せいぜん",整然,"Orderly"
"にゅうかんりょう",入館料,"Admission Fee"
"りょうきん",料金,"Fee"
"うつる",映る,"To Be Reflected"
"えいが",映画,"Movie"
"くらい",暗い,"Dark"
"あんさつ",暗殺,"Assassination"
"あんき",暗記,"Memorization"
"さま",〜様,"Formal Name Ender"
"さまざま",様々,"Various"
"みなさま",皆様,"Everyone"
"もくひょう",目標,"Goal"
"はし",橋,"Bridge"
"ころす",殺す,"To Kill"
"さつじん",殺人,"Murder"
"じさつ",自殺,"Suicide"
"ぜんぜん",全然,"Entirely"
"とうぜん",当然,"Natural"
"しぜん",自然,"Nature"
"じょうねつ",情熱,"Passion"
"ねつ",熱,"Fever"
"あつい",熱い,"Hot Thing"
"ねっしん",熱心,"Enthusiasm"
"みなさん",皆さん,"Everyone"
"ふくしま",福島,"Fukushima"
"みどり",緑,"Green"
"みどりいろ",緑色,"Green"
"れんしゅう",練習,"Practice"
"し",詩,"Poem"
"しじん",詩人,"Poet"
"しいか",詩歌,"Poetry"
"かちょう",課長,"Section Manager"
"あやまる",謝る,"To Apologize"
"しょうきん",賞金,"Cash Prize"
"しゃりん",車輪,"Tire"
"わ",輪,"Ring"
"えらぶ",選ぶ,"To Choose"
"せんしゅ",選手,"Pro Athlete"
"すいぎん",水銀,"Mercury"
"ぎん",銀,"Silver"
"ぎんいろ",銀色,"Silver"
"ぎんこう",銀行,"Bank"
"かがみ",鏡,"Mirror"
"ほうだい",〜放題,"As Much As You Want"
"わだい",話題,"Topic"
"おねがいします",お願いします,"Please Help Me"
"しんがん",心願,"Heartfelt Desire"
"やしなう",養う,"To Foster"
"ようし",養子,"Adopted Child"
"りょかん",旅館,"Japanese Inn"
"ほんかん",本館,"Main Building"
"えき",駅,"Station"
"えきまえ",駅前,"Front Of Station"
"えきいん",駅員,"Train Station Employee"
"えきちょう",駅長,"Station Master"
"せいり",整理,"Arrangement"
"やど",宿,"Lodging"
"じっかん",実感,"Realization"
"わかれる",別れる,"To Separate"
"きょうゆうする",共有する,"To Share"
"ひょうじょう",表情,"Facial Expression"
"なかゆび",中指,"Middle Finger"
"めがみ",女神,"Goddess"
"がくもん",学問,"Schooling"
"そうてい",想定,"Hypothesis"
"おうさま",王様,"King"
"おやゆび",親指,"Thumb"
"かみさま",神様,"God"
"ゆびさき",指先,"Fingertip"
"とくせん",特選,"Special Selection"
