"ばあい",場合,"Case"
"またせる",待たせる,"To Make Someone Wait"
"きもの",着物,"Kimono"
"したぎ",下着,"Underwear"
"みずぎ",水着,"Swimsuit"
"まにあう",間に合う,"To Be In Time For"
"しりあい",知り合い,"Acquaintance"
"まちぼうけ",待ちぼうけ,"Stood Up"
"けしごむ",消しゴム,"Eraser"
"わるぎ",悪気,"Evil Intent"
"やまのぼり",山登り,"Mountain Climbing"
"りゅうこうご",流行語,"Popular Phrase"
"りゅうこうか",流行歌,"Popular Song"
"れいがい",例外,"Exception"
"いちれい",一例,"Instance"
"たとえば",例えば,"For Example"
"れいぶん",例文,"Example Sentence"
"あくれい",悪例,"Bad Example"
"きょうかい",協会,"Union"
"きょうりょく",協力,"Cooperation"
"まいる",参る,"To Come"
"いっしゅう",一周,"One Time Around"
"しゅうい",周囲,"Perimeter"
"しゅうねん",周年,"Anniversary"
"かこむ",囲む,"To Surround"
"ふんいき",雰囲気,"Atmosphere"
"かたい",固い,"Hard"
"がんこ",頑固,"Stubborn"
"きほん",基本,"Foundation"
"しき",四季,"The Four Seasons"
"かんりょう",完了,"Completion"
"かんぜん",完全,"Complete"
"かんせい",完成,"Completion"
"ねんがん",念願,"Heart's Desire"
"ざんねん",残念,"Too Bad"
"じょせい",女性,"Female"
"せいびょう",性病,"Sexually Transmitted Disease"
"だんせい",男性,"Male"
"わざ",技,"Technique"
"ぎのう",技能,"Skill"
"とくぎ",特技,"Specialty"
"おる",折る,"To Fold"
"せっかく",折角,"With Trouble"
"こっせつ",骨折,"Broken Bone"
"しつぼう",失望,"Disappointment"
"のぞみ",望み,"Wish"
"のぞむ",望む,"To Wish"
"がんぼう",願望,"Desire"
"もくざい",木材,"Wood"
"ざいりょう",材料,"Ingredients"
"ざいもく",材木,"Lumber"
"たば",束,"Bundle"
"やくそく",約束,"Promise"
"まつ",松,"Pine"
"まつば",松葉,"Pine Needle"
"じんかく",人格,"Character"
"ごうかくする",合格する,"To Pass A Test"
"せいかく",性格,"Personality"
"かっこう",格好,"Shape"
"こっかく",骨格,"Skeleton"
"のこり",残り,"Remainder"
"のこる",残る,"To Remain Behind"
"ざんぎょう",残業,"Overtime"
"りょうり",料理,"Cooking"
"てき",〜的,"Al"
"にほんてき",日本的,"Very Japanese"
"もくてき",目的,"Purpose"
"よやく",予約,"Reservation"
"やく",約,"About"
"さいのう",才能,"Talent"
"のうりょく",能力,"Ability"
"げいのうかい",芸能界,"Showbusiness"
"げいにん",芸人,"Comedian"
"げいしゃ",芸者,"Geisha"
"げいじゅつ",芸術,"Art"
"びじゅつ",美術,"Fine Art"
"ほね",骨,"Bone"
"おちつく",落ち着く,"To Calm Down"
"しょうかする",消化する,"To Digest"
"きえる",消える,"To Disappear"
"きもちわるい",気持ち悪い,"Bad Feeling"
"ながれる",流れる,"To Stream"
"うごかす",動かす,"To Move Something"
"つける",着ける,"To Put On"
"べんきょうする",勉強する,"To Study"
"りょこうする",旅行する,"To Travel"
"あたためる",温める,"To Warm Up"
"おこす",起こす,"To Wake Someone Up"
"りょこうしゃ",旅行者,"Traveler"
"わるくち",悪口,"Verbal Abuse"
"りょうこう",良好,"Good"
"じどう",自動,"Automatic"
"そつぎょう",卒業,"Graduation"
"きぼう",希望,"Hope"
"だきょう",妥協,"Compromise"
"しょうかふりょう",消化不良,"Indigestion"
"きたいする",期待する,"To Expect"
"かいてんずし",回転ずし,"Rotating Sushi"
"かいてんする",回転する,"To Rotate"
"しあい",試合,"Game"
"あわせる",合わせる,"To Join Together"
"せい",性,"Gender"
"うごき",動き,"Movement"
"まわり",周り,"Circumference"
"ふかさ",深さ,"Depth"
"しゅうき",周期,"Cycle"
"りせい",理性,"Reason"
"まちあい",待合,"Waiting Room"
"ことばつき",言葉つき,"Speech"
"ぐあい",具合,"Condition"
"いとてき",意図的,"Intentional"
"きんだいてき",近代的,"Contemporary "
"いじわる",意地悪,"Malicious"
"あいず",合図,"Signal"
"ぶんかさい",文化祭,"School Festival"
"ほんのう",本能,"Instinct"
"うんどうかい",運動会,"Sports Day"
"にんじん",人参,"Carrot"
