"このむ",好む,"To Be Fond Of"
"えいがかん",映画館,"Movie Theater"
"ほとけ",仏,"Buddha"
"ぶっきょう",仏教,"Buddhism"
"だいぶつ",大仏,"Giant Buddha Statue"
"しんじる",信じる,"To Believe"
"じしん",自信,"Confidence"
"しんごう",信号,"Traffic Light"
"しんじん",信心,"Faith"
"しんよう",信用,"Trust"
"ふしん",不信,"Distrust"
"へんしん",返信,"Reply"
"ゆうき",勇気,"Courage"
"く",区,"District"
"くぶん",区分,"Division"
"ちく",地区,"District"
"たんに",単に,"Simply"
"たんご",単語,"Word"
"じょうし",上司,"Boss"
"さか",坂,"Slope"
"へん",変,"Strange"
"へんじん",変人,"An Eccentric"
"へんか",変化,"Change"
"へんし",変死,"Unnatural Death"
"たいへん",大変,"Serious"
"じへん",事変,"Incident"
"おっと",夫,"Husband"
"いわ",岩,"Boulder"
"かえる",帰る,"To Return Home"
"たてる",建てる,"To Build"
"けんちく",建築,"Architecture"
"しき",式,"Ceremony"
"はる",春,"Spring"
"はるやすみ",春休み,"Spring Break"
"さっこん",昨今,"These Days"
"きのう",昨日,"Yesterday"
"ひる",昼,"Noon"
"ばん",晩,"Night"
"こんばんは",今晩は,"Good Evening"
"まいばん",毎晩,"Every Night"
"はれる",晴れる,"To Clear Up"
"どく",毒,"Poison"
"ちゅうどく",中毒,"Poisoning"
"ゆうどく",有毒,"Poisonous"
"しょくちゅうどく",食中毒,"Food Poisoning"
"どくがす",毒ガス,"Poison Gas"
"ほうほう",方法,"Method"
"ぶんぽう",文法,"Grammar"
"ふほう",不法,"Illegal"
"なく",泣く,"To Cry"
"あさい",浅い,"Shallow"
"ねこ",猫,"Cat"
"こねこ",子猫,"Kitten"
"あき",秋,"Autumn"
"しんちく",新築,"Newly Built"
"せいき",世紀,"Century"
"きげんご",紀元後,"AD"
"えいご",英語,"English Language"
"えいかいわ",英会話,"English Conversation"
"えいぶん",英文,"English Writing"
"えいこく",英国,"Britain"
"えいわ",英和,"English Japanese"
"とけい",時計,"Watch"
"ごうけい",合計,"Total"
"けいかく",計画,"Plan"
"けいさん",計算,"Calculation"
"ぐんじん",軍人,"Soldier"
"かいぐん",海軍,"Navy"
"めし",飯,"Meal"
"ごはん",ご飯,"Meal"
"ぶきよう",不器用,"Clumsy"
"おねがい",お願い,"A Request"
"のみほうだい",飲み放題,"All You Can Drink"
"たべほうだい",食べ放題,"All You Can Eat"
"ひとごろし",人殺し,"Murder"
"さつじんしゃ",殺人者,"Murderer"
"ゆびわ",指輪,"Ring"
"わごむ",輪ゴム,"Rubber Band"
"せいりする",整理する,"To Arrange"
"あんきする",暗記する,"To Memorize"
"れんしゅうする",練習する,"To Practice"
"うつす",映す,"To Project"
"へんじ",変事,"Strange Incident"
"どうきちゅう",同期中,"Syncing"
"てら",寺,"Temple"
"おいしい",美味しい,"Tasty"
"かえる",変える,"To Change"
"じょうぶ",丈夫,"Sturdy"
"たけ",丈,"Height"
"がんじょう",頑丈,"Solid"
"みかえす",見返す,"To Look Back At"
"ぐん",軍,"Army"
"れつ",列,"Line"
"つて",伝,"Intermediary"
"なさけない",情けない,"Miserable"
"はなつ",放つ,"To Fire"
"ととのえる",整える,"To Arrange"
"ひるやすみ",昼休み,"Lunch Break"
"はれ",晴れ,"Clear Weather"
"さくねん",昨年,"Last Year"
