"まちあいしつ",待合室,"Waiting Room"
"しゅざい",取材,"Covering An Event"
"やくそくする",約束する,"To Promise"
"かめん",仮面,"Mask"
"かかわる",係わる,"To Be Involved With"
"ほしゅてき",保守的,"Conservative"
"ほぞん",保存,"Preserve"
"ほけん",保険,"Insurance"
"ほしょう",保証,"Guarantee"
"ぶつぞう",仏像,"Image Of Buddha"
"こてんてき",古典的,"Classical"
"ぶってん",仏典,"Buddhist Scriptures"
"じてん",字典,"Character Dictionary"
"じてん",事典,"Encyclopedia"
"ぼうけん",冒険,"Adventure"
"じょうだん",冗談,"Joke"
"きけん",危険,"Risky"
"あぶない",危ない,"Dangerous"
"とる",取る,"To Take"
"げひん",下品,"Crude"
"さくひん",作品,"A Work"
"しな",品,"Article"
"しんぴん",新品,"Brand New"
"しょうひん",商品,"Merchandise"
"こうえん",公園,"Public Park"
"えん",園,"Garden"
"ぞんじる",存じる,"To Know"
"せいぞん",生存,"Existence"
"まもる",守る,"To Protect"
"るす",留守,"Absence"
"しんじつ",真実,"Truth"
"せんもん",専門,"Specialty"
"ふこう",不幸,"Unhappiness"
"しあわせ",幸せ,"Happiness"
"せいふ",政府,"Government"
"べんとう",弁当,"Bento"
"とうきょうべん",東京弁,"Tokyo Dialect"
"べん",〜弁,"Dialect"
"いそぐ",急ぐ,"To Hurry"
"きゅうに",急に,"Suddenly"
"きゅうし",急死,"Sudden Death"
"きゅうこう",急行,"Express"
"せいじ",政治,"Politics"
"かく",書く,"To Write"
"ざんぴん",残品,"Unsold Merchandise"
"なおす",治す,"To Cure"
"ぜんち",全治,"Complete Recovery"
"ふじ",不治,"Incurability"
"めいじ",明治,"Meiji Era"
"あびる",浴びる,"To Bathe"
"にっこうよく",日光浴,"Sunbathe"
"とっきゅう",特急,"Limited Express Train"
"りゅうがく",留学,"Study Abroad"
"しゃしん",写真,"Photo"
"まっくろ",真っ黒,"Pitch Black"
"こうふく",幸福,"Happiness"
"わらう",笑う,"To Laugh"
"えがお",笑顔,"Smile"
"ごみばこ",ゴミ箱,"Garbage Can"
"はこ",箱,"Box"
"にもつ",荷物,"Luggage"
"あかし",証,"Evidence"
"しょうにん",証人,"Witness"
"しょうげん",証言,"Testimony"
"じしょ",辞書,"Dictionary"
"やめる",辞める,"To Quit"
"せじ",世辞,"Flattery"
"とおい",遠い,"Far"
"にゅうもん",入門,"Admission"
"かんする",関する,"To Be Connected To"
"かんけい",関係,"Connection"
"はんしん",阪神,"Hanshin"
"ぜんめん",前面,"Front"
"じめん",地面,"Ground"
"がいめん",外面,"Exterior"
"がめん",画面,"Screen"
"おもしろい",面白い,"Interesting"
"としょかん",図書館,"Library"
"りょうりにん",料理人,"A Cook"
"げいじゅつか",芸術家,"Artist"
"じどうてき",自動的,"Automatic"
"きほんてき",基本的,"Fundamental"
"おりめ",折り目,"Fold"
"そつぎょうしき",卒業式,"Graduation Ceremony"
"ふかんぜん",不完全,"Incomplete"
"びじゅつかん",美術館,"Museum"
"おりがみ",折り紙,"Origami"
"きぼうする",希望する,"To Request"
"ぎじゅつ",技術,"Art"
"だきょうする",妥協する,"To Compromise"
"ふごうかく",不合格,"Fail A Test"
"そつぎょうする",卒業する,"To Graduate"
"のこす",残す,"To Leave Behind"
"かためる",固める,"To Make Hard"
"しょうめい",証明,"Proof"
"ようび",曜日,"Day Of The Week"
"かんさい",関西,"Kansai"
"おおさか",大阪,"Osaka"
"とれる",取れる,"To Come Off"
"かんしん",関心,"Concern"
"じどうしゃ",自動車,"Automobile"
"きょうかしょ",教科書,"Textbook"
"がんめん",顔面,"Face Of A Person"
"きゅう",急,"Urgent"
"どうぶつえん",動物園,"Zoo"
"きねんび",記念日,"Holiday"
"ばめん",場面,"Scene"
"じてん",辞典,"Dictionary"
"こううん",幸運,"Good Luck"
"おれる",折れる,"To Break"
"もん",門,"Gate"
"しょくりょうひん",食料品,"Groceries"
"ちあん",治安,"Public Order"
"にふだ",荷札,"Tag"
"えんそく",遠足,"Excursion"
