"かなしむ",悲しむ,"To Be Sad"
"よろこぶ",喜ぶ,"To Rejoice"
"けんちくか",建築家,"Architect"
"きげんぜん",紀元前,"Before Christ"
"あさごはん",朝ご飯,"Breakfast"
"なきむし",泣き虫,"Crybaby"
"なきごえ",泣き声,"Crying"
"ばんごはん",晩ご飯,"Dinner"
"ひるごはん",昼ご飯,"Lunch"
"ねがいごと",願い事,"One's Wish"
"みぎがわ",右側,"Right Side"
"ひだりがわ",左側,"Left Side"
"うちがわ",内側,"Inside"
"そとがわ",外側,"Outside"
"りょうがわ",両側,"Both Sides"
"ひがしがわ",東側,"East Side"
"にしがわ",西側,"West"
"へいいん",兵員,"Military Personnel"
"へいき",兵器,"Arms"
"へいし",兵士,"Soldier"
"べいへい",米兵,"US Soldier"
"げんいん",原因,"Cause"
"げんし",原子,"Atom"
"げんさく",原作,"Original Work"
"ないいん",内因,"Internal Cause"
"しゅいん",主因,"Main Cause"
"あくいんあっか",悪因悪果,"Evil Breeds Evil"
"しょくどう",食堂,"Cafeteria"
"しお",塩,"Salt"
"しおみず",塩水,"Salt Water"
"しおあじ",塩味,"Salty Taste"
"かんきん",官金,"Government Funds"
"がいこうかん",外交官,"Diplomat"
"さっする",察する,"To Guess"
"さっち",察知,"Inference"
"せき",席,"Seat"
"けっせき",欠席,"Absence"
"しゅっせき",出席,"Attendance"
"くうせき",空席,"Open Seat"
"つねに",常に,"Always"
"にちじょう",日常,"Everyday Life"
"じょうしき",常識,"Common Sense"
"ほす",干す,"To Dry"
"かんてん",干天,"Dry Weather"
"かんしょう",干渉,"Interference"
"まぼろし",幻,"Illusion"
"げんかく",幻覚,"Hallucination"
"げんそう",幻想,"Fantasy"
"そこ",底,"Bottom"
"しんそこ",心底,"Bottom Of One's Heart"
"かわぞこ",川底,"Riverbed"
"たつ",建つ,"To Be Erected"
"たてもの",建物,"Building"
"たてまえ",建前,"Public Behavior"
"こい",恋,"Love"
"しつれん",失恋,"Heartbreak"
"あい",愛,"Love"
"あいこくしん",愛国心,"Patriotism"
"れんあい",恋愛,"Love"
"じあい",自愛,"Self Love"
"せいあい",性愛,"Sexual Love"
"あいちけん",愛知県,"Aichi Prefecture"
"やぶれる",敗れる,"To Be Defeated"
"しっぱい",失敗,"Failure"
"しょうはい",勝敗,"Victory Or Defeat"
"はいしゃ",敗者,"Loser"
"ぜひ",是非,"Absolutely"
"くだもの",果物,"Fruit"
"けっか",結果,"Result"
"さかえる",栄える,"To Flourish"
"こうえい",光栄,"Honor"
"えいこう",栄光,"Glory"
"うめ",梅,"Ume"
"うめしゅ",梅酒,"Ume Wine"
"こうしょう",交渉,"Negotiation"
"むりょく",無力,"Powerless"
"むきゅう",無休,"No Holidays"
"むめい",無名,"Anonymous"
"ぶじ",無事,"Safe And Sound"
"むち",無知,"Ignorance"
"むちゃ",無茶,"Absurd"
"むりょう",無料,"Free"
"ほそい",細い,"Thin"
"けっきょく",結局,"After All"
"しょめい",署名,"Signature"
"くすり",薬,"Medicine"
"やくがく",薬学,"Study Of Pharmacy"
"やくほう",薬方,"Prescription"
"やくぶつ",薬物,"Medicines"
"やくよう",薬用,"Medicinal"
"きょえいしん",虚栄心,"Vanity"
"きょじゃく",虚弱,"Weak"
"じかく",自覚,"Consciousness"
"かんかく",感覚,"Senses"
"せつめい",説明,"Explanation"
"しょうせつ",小説,"Novel"
"でんせつ",伝説,"Legend"
"かせつ",仮説,"Hypothesis"
"ずせつ",図説,"Illustration"
"ちしき",知識,"Knowledge"
"いしき",意識,"Awareness"
"けいさつ",警察,"Police"
"ひじょう",非常,"Emergency"
"はな",鼻,"Nose"
"はなくそ",鼻くそ,"Snot"
"はなさき",鼻先,"Tip Of The Nose"
"はなうた",鼻歌,"Humming"
"はなぢ",鼻血,"Nosebleed"
"すいへい",水兵,"Navy Sailor"
"くわしい",詳しい,"Detailed"
"しょうさい",詳細,"Details"
"ふしょう",不詳,"Unknown"
"げき",劇,"Drama"
"きげき",喜劇,"Comedy"
"ひげき",悲劇,"Tragedy"
"げきてき",劇的,"Dramatic"
"げきじょう",劇場,"Theater"
"かげき",歌劇,"Opera"
"まずい",不味い,"Bad Tasting"
"へい",兵,"Soldier"
"むり",無理,"Impossible"
"そば",側,"Side"
"かわる",変わる,"To Be Changed"
"いさむ",勇む,"To Be Encouraged"
"なし",無し,"Without"
"かんけつ",完結,"Conclusion"
"むごん",無言,"Silence"
"あいする",愛する,"To Love"
"あいかわらず",相変わらず,"As Usual"
"あいじん",愛人,"Lover"
"むなしい",虚しい,"Empty"
"はてる",果てる,"To End"
"あいじょう",愛情,"Love"
"おととい",一昨日,"Day Before Last"
