"かなしい",悲しい,"Sad"
"にまいじた",二枚舌,"Forked Tongue"
"みだれる",乱れる,"To Be In Disorder"
"らんせん",乱戦,"Melee"
"こんらん",混乱,"Confusion"
"さつ",〜冊,"Book Counter"
"さんさつ",三冊,"Three Books"
"はっさつ",八冊,"Eight Books"
"いっさつ",一冊,"One Book"
"べっさつ",別冊,"Separate Volume"
"いいかげん",いい加減,"Irresponsible"
"げんしりょく",原子力,"Nuclear Power"
"かいぜん",改善,"Improvement"
"ぜんあく",善悪,"Good And Evil"
"しゅうだん",集団,"Group"
"にゅうだん",入団,"Join"
"きせつ",季節,"Season"
"うちゅう",宇宙,"Outer Space"
"けいかん",警官,"Police Officer"
"ないよう",内容,"Contents"
"ようぎ",容疑,"Suspicion"
"けいようし",形容詞,"Adjective"
"りれきしょ",履歴書,"Personal History"
"はく",履く,"To Put On Shoes"
"わかめ",若布,"Wakame"
"ぬの",布,"Cloth"
"さいふ",財布,"Wallet"
"ふとん",布団,"Futon"
"もうふ",毛布,"Blanket"
"せいと",生徒,"Student"
"ぶっきょうと",仏教徒,"Buddhist"
"しんと",信徒,"Believer"
"える",得る,"To Acquire"
"とく",得,"Benefit"
"とくい",得意,"Good At"
"せっとく",説得,"Persuasion"
"いそがしい",忙しい,"Busy"
"こいびと",恋人,"Lover"
"あらたまる",改まる,"To Be Renewed"
"かいせい",改正,"Revision"
"だいしっぱい",大失敗,"Total Failure"
"こんぶ",昆布,"Konbu"
"やさしい",易しい,"Easy"
"ようい",容易,"Ease"
"あばれる",暴れる,"To Act Violently"
"ぼうりょく",暴力,"Violence"
"らんぼう",乱暴,"Violence"
"ぼうそう",暴走,"Run Wild"
"うめぼし",梅干,"Pickled Plums"
"れきし",歴史,"History"
"がくれき",学歴,"Academic History"
"くらべる",比べる,"To Compare"
"ひれい",比例,"Proportion"
"たいひ",対比,"Contrast"
"まぜる",混ぜる,"To Mix"
"まざる",混ざる,"To Get Mixed"
"へる",減る,"To Be Decreased"
"げんぽう",減法,"Subtraction"
"せっく",節句,"Seasonal Festival"
"からむ",絡む,"To Be Entangled"
"つづく",続く,"To Continue"
"ぞくぞく",続々,"One After Another"
"した",舌,"Tongue"
"ねこじた",猫舌,"Aversion To Hot Foods"
"わかい",若い,"Young"
"わかもの",若者,"Young Person"
"わかわかしい",若々しい,"Youthful"
"めいし",名詞,"Noun"
"どうし",動詞,"Verb"
"かし",歌詞,"Song Lyrics"
"じょし",助詞,"Grammar Particle"
"すうし",数詞,"Numeral"
"じどうし",自動詞,"Intransitive Verb"
"むいしき",無意識,"Unconsciousness"
"しざい",私財,"Private Funds"
"しゃくざい",借財,"Debt"
"れんぞく",連続,"Serial"
"つれる",連れる,"To Take Along"
"ざいばつ",財閥,"Plutocrats"
"ひじょうに",非常に,"Very"
"ひじょうぐち",非常口,"Emergency Exit"
"じゅんい",順位,"Ranking"
"じゅんばん",順番,"Order"
"おおきいじゅん",大きい順,"Decreasing Order"
"ちいさいじゅん",小さい順,"Increasing Order"
"せきじゅん",席順,"Seating Order"
"ねんだいじゅん",年代順,"Chronological Order"
"ごじゅうおんじゅん",五十音順,"Aiueo Order"
"はたして",果たして,"Really"
"こまかい",細かい,"Detailed"
"けいさつしょ",警察署,"Police Station"
"せつめいしょ",説明書,"Written Explanation"
"ふえ",笛,"Flute"
"きてき",汽笛,"Steam Whistle"
"くわえる",加える,"To Add"
"さんか",参加,"Participation"
"れんらくする",連絡する,"To Contact"
"げきだん",劇団,"Drama Troupe"
"ひんし",品詞,"Part Of Speech"
"おぼえる",覚える,"To Memorize"
"れんちゅう",連中,"Colleagues"
"たぼう",多忙,"Busy"
"よろこび",喜び,"Joy"
"れんじつ",連日,"Every Day"
"かんれん",関連,"Relation"
"かなしみ",悲しみ,"Sadness"
"ちゅう",宙,"Midair"
"こんけつ",混血,"Mixed Race"
