"かたな",刀,"Sword"
"つち",土,"Soil"
"せん",千,"Thousand"
"いっせん",一千,"One Thousand"
"ゆうべ",夕べ,"Evening"
"おんなのこ",女の子,"Girl"
"こ",子,"Kid"
"じょし",女子,"Girl"
"ちいさい",小さい,"Small"
"また",又,"Again"
"まる",丸,"Circle"
"まるい",丸い,"Circular"
"さい",〜才,"Years Old"
"なか",中,"Inside"
"なかなか",中々,"Very"
"ごがつ",五月,"May"
"いつか",五日,"Fifth Day"
"ごじゅう",五十,"Fifty"
"いつつ",五つ,"Five Things"
"ご",五,"Five"
"むっつ",六つ,"Six Things"
"ろくがつ",六月,"June"
"むいか",六日,"Sixth Day"
"じゅうろく",十六,"Sixteen"
"ろく",六,"Six"
"えん",〜円,"Money"
"せんえん",千円,"One Thousand Yen"
"まるい",円い,"Round"
"てん",天,"Heaven"
"てんさい",天才,"Genius"
"て",手,"Hand"
"へた",下手,"Unskillful"
"じょうず",上手,"Good At"
"ぶん",文,"Writing"
"ひ",日,"Sun"
"つき",月,"Moon"
"じゅうがつ",十月,"October"
"いちがつ",一月,"January"
"にがつ",二月,"February"
"き",木,"Tree"
"みず",水,"Water"
"ひ",火,"Fire"
"かざん",火山,"Volcano"
"いぬ",犬,"Dog"
"こいぬ",子犬,"Puppy"
"おう",王,"King"
"おうじ",王子,"Prince"
"じょおう",女王,"Queen"
"おうじょ",王女,"Princess"
"だす",出す,"To Take Out"
"でる",出る,"To Exit"
"でぐち",出口,"Exit"
"みぎ",右,"Right Direction"
"よん",四,"Four"
"しがつ",四月,"April"
"ひだり",左,"Left Direction"
"ほん",本,"Book"
"にほん",日本,"Japan"
"ただしい",正しい,"Correct"
"ただす",正す,"To Correct"
"たま",玉,"Ball"
"たまねぎ",玉ねぎ,"Onion"
"た",田,"Rice Field"
"しろ",白,"White"
"はくじん",白人,"Caucasian"
"め",目,"Eye"
"めだま",目玉,"Eyeball"
"たつ",立つ,"To Stand"
"たてる",立てる,"To Stand Something Up"
"ふつか",二日,"Second Day"
"ひとびと",人々,"People"
"いちにち",一日,"One Day"
"なのか",七日,"Seventh Day"
"みっか",三日,"Third Day"
"ここのか",九日,"Ninth Day"
"ようか",八日,"Eighth Day"
"とおか",十日,"Tenth Day"
"すいちゅう",水中,"Underwater"
"さゆう",左右,"Left And Right"
"にゅうりょく",入力,"Input"
