"さらあらい",皿洗い,"Dishwashing"
"こまる",困る,"To Be Distressed"
"あまる",余る,"To Be In Surplus"
"よけい",余計,"Unneeded"
"ざんよ",残余,"Remainder"
"こじん",個人,"Personal"
"いっこ",一個,"One Small Thing"
"こしつ",個室,"Private Room"
"さんこ",三個,"Three Small Things"
"たおす",倒す,"To Knock Over"
"めんどう",面倒,"Trouble"
"とうさん",倒産,"Bankruptcy"
"かりて",借り手,"Borrower"
"あつい",厚い,"Thick"
"あつりょく",圧力,"Pressure"
"けつあつ",血圧,"Blood Pressure"
"しあつ",指圧,"Shiatsu"
"そんざい",存在,"Existence"
"じつざい",実在,"Reality"
"ざいがい",在外,"Overseas"
"むちゅう",夢中,"Crazy About"
"あくむ",悪夢,"Nightmare"
"ゆめ",夢,"Dream"
"ぼうがい",妨害,"Obstruction"
"さまたげる",妨げる,"To Obstruct"
"かぶる",被る,"To Put On A Hat"
"つま",妻,"Wife"
"ふさい",夫妻,"Husband And Wife"
"さいし",妻子,"Wife And Kids"
"いっぷたさい",一夫多妻,"Polygamy"
"いや",嫌,"Dislike"
"きらい",嫌い,"Dislike"
"きげん",機嫌,"Mood"
"けんぎ",嫌疑,"Suspicion"
"るすばんでんわ",留守番電話,"Answering Machine"
"こうがい",公害,"Pollution"
"すいがい",水害,"Flood Damage"
"むがい",無害,"Harmless"
"おしり",お尻,"Butt"
"ゆみや",弓矢,"Bow And Arrow"
"わすれもの",忘れ物,"Forgotten Item"
"きかい",機械,"Machine"
"ひこうき",飛行機,"Airplane"
"きき",危機,"Crisis"
"わざわい",災い,"Disaster"
"さいがい",災害,"Natural Disaster"
"かさい",火災,"Fire Disaster"
"さいなん",災難,"Misfortune"
"しんさい",震災,"Earthquake Disaster"
"けむい",煙い,"Smoky"
"おかす",犯す,"To Commit A Crime"
"はんにん",犯人,"Criminal"
"きょうはんしゃ",共犯者,"Accomplice"
"かくりつ",確率,"Probability"
"ひりつ",比率,"Percentage"
"うむ",産む,"To Give Birth"
"たしかに",確かに,"Certainly"
"せいかく",正確,"Accurate"
"たちいりきんし",立入禁止,"Do Not Enter"
"あな",穴,"Hole"
"あなば",穴場,"Hole In The Wall"
"はなのあな",鼻の穴,"Nostril"
"あなご",穴子,"Conger Eel"
"たつ",経つ,"To Pass"
"けいけん",経験,"Experience"
"つみ",罪,"Sin"
"ゆうざい",有罪,"Guilty"
"はんざい",犯罪,"Crime"
"くさい",臭い,"Stinky"
"ひがい",被害,"Damage"
"よゆう",余裕,"Surplus"
"ゆうふく",裕福,"Wealth"
"ろんぶん",論文,"Thesis"
"りろん",理論,"Theory"
"ろんり",論理,"Logic"
"かいぎ",会議,"Meeting"
"ぎろん",議論,"Argument"
"ふしぎ",不思議,"Wonder"
"ぼうし",防止,"Prevention"
"ふせぐ",防ぐ,"To Defend"
"ぼうすい",防水,"Waterproof"
"ぼうか",防火,"Fire Prevention"
"よぼう",予防,"Prevention"
"こんなん",困難,"Hardship"
"ひなん",非難,"Criticism"
"むずかしい",難しい,"Difficult"
"じしん",地震,"Earthquake"
"しんど",震度,"Earthquake Intensity"
"よしん",余震,"Aftershock"
"じんるいがく",人類学,"Anthropology"
"とぶ",飛ぶ,"To Fly"
"てあらい",手洗い,"Hand Washing"
"むねやけ",胸焼け,"Heartburn"
"ふかぶん",不可分,"Indivisible"
"かのうせい",可能性,"Possibility"
"おんくん",音訓,"On'yomi And Kun'yomi"
"ひとたち",人達,"People"
"しずしず",静々,"Quietly"
"やける",焼ける,"To Be Cooked"
"でんしきき",電子機器,"Electronic Equipment"
"どくしゃ",読者,"Reader"
"ざいりゅう",在留,"Residence"
"き",機,"Machine"
"じざい",自在,"Freely"
"ぎかい",議会,"Diet"
"かいぎしつ",会議室,"Conference Room"
"ぎいん",議員,"Member Of The Diet"
"お",尾,"Tail"
"さいこうび",最後尾,"End Of A Line"
"てんきよほう",天気予報,"Weather Forecast"
"けんお",嫌悪,"Disgust"
"ぎちょう",議長,"Chairman"
"こうとうがっこう",高等学校,"Senior High School"
"のどあめ",喉飴,"Cough Drop"
