"あめりかじん",アメリカ人,"American"
"ふらんすじん",フランス人,"Frenchman"
"びーだま",ビー玉,"Marble"
"うまれる",生まれる,"To Be Born"
"うむ",生む,"To Give Birth"
"いきる",生きる,"To Live"
"なま",生,"Fresh"
"いちまん",一万,"Ten Thousand"
"にまん",二万,"Twenty Thousand"
"じゅうまん",十万,"One Hundred Thousand"
"いま",今,"Now"
"きょう",今日,"Today"
"こんげつ",今月,"This Month"
"もと",元,"Origin"
"はんぶん",半分,"Half"
"わかる",分かる,"To Understand"
"わける",分ける,"To Separate"
"ふん",分,"Minute"
"きれる",切れる,"To Be Cut"
"たいせつ",大切,"Important"
"きる",切る,"To Cut"
"ゆうじん",友人,"Friend"
"ふとい",太い,"Fat"
"ふとる",太る,"To Get Fat"
"すこし",少し,"A Little"
"すくない",少ない,"A Few"
"ひく",引く,"To Pull"
"こころ",心,"Heart"
"とぐち",戸口,"Doorway"
"かた",方,"Way"
"とまる",止まる,"To Stop"
"とめる",止める,"To Stop Something"
"ちゅうし",中止,"Suspension"
"け",毛,"Fur"
"ちち",父,"Father"
"おとうさん",お父さん,"Father"
"うし",牛,"Cow"
"ふゆ",冬,"Winter"
"きた",北,"North"
"はん",半,"Half"
"ふるい",古い,"Old"
"ちゅうこ",中古,"Secondhand"
"いちだい",一台,"One Machine"
"にだい",二台,"Two Machines"
"ごだい",五台,"Five Machines"
"じゅうだい",十台,"Ten Machines"
"そと",外,"Outside"
"がいじん",外人,"Foreigner"
"はずれ",外れ,"Extremity"
"はずれる",外れる,"To Be Disconnected"
"し",市,"City"
"しりつ",市立,"Municipal"
"しあとるし",シアトル市,"Seattle"
"ひろい",広い,"Wide"
"はは",母,"Mother"
"おかあさん",お母さん,"Mother"
"もちいる",用いる,"To Utilize"
"こうよう",公用,"Government Business"
"や",矢,"Arrow"
"じんせい",人生,"One's Life"
"いぎりすじん",イギリス人,"British Person"
"うち",内,"Inside"
"だい",〜台,"Big Machine"
"にん",〜人,"Number Of People"
"しょうじょ",少女,"Girl"
"まん",万,"Ten Thousand"
"よう",用,"Task"
"おとなしい",大人しい,"Obedient"
"と",戸,"Japanese Style Door"
"おんなのひと",女の人,"Woman"
