"おおもじ",大文字,"Uppercase Letters"
"みみうち",耳打ち,"Whisper In Ear"
"しかたがない",仕方がない,"Can't Be Helped"
"ぶんか",文化,"Culture"
"ち",地,"Earth"
"ちか",地下,"Underground"
"とち",土地,"Land"
"ちず",地図,"Map"
"りょうて",両手,"Both Hands"
"りょうじつ",両日,"Both Days"
"りょうほう",両方,"Both"
"すべて",全て,"All"
"ぜんりょく",全力,"Full Effort"
"ぜんにほん",全日本,"All Japan"
"あんぜん",安全,"Safety"
"ほうこう",方向,"Direction"
"やすい",安い,"Cheap"
"あんしん",安心,"Relief"
"ふあん",不安,"Uneasiness"
"へいあん",平安,"Peace"
"しゅう",州,"State"
"きゅうしゅう",九州,"Kyuushuu"
"ほんしゅう",本州,"Honshuu"
"きょく",曲,"Tune"
"めいきょく",名曲,"Famous Music"
"ある",有る,"To Have"
"ゆうめい",有名,"Famous"
"つぎ",次,"Next"
"じかい",次回,"Next Time"
"もくじ",目次,"Table Of Contents"
"ねんじ",年次,"Annual"
"しぬ",死ぬ,"To Die"
"したい",死体,"Dead Body"
"しぼう",死亡,"Mortality"
"ひつじ",羊,"Sheep"
"ようもう",羊毛,"Wool"
"ち",血,"Blood"
"しゅっけつ",出血,"Bleeding"
"くに",国,"Country"
"ちゅうごく",中国,"China"
"てんごく",天国,"Kingdom Of Heaven"
"ぜんこく",全国,"Nationwide"
"しこく",四国,"Shikoku"
"がいこく",外国,"Foreign Country"
"がいこくじん",外国人,"Foreign Person"
"べいこく",米国,"United States Of America"
"よる",夜,"Night"
"こんや",今夜,"Tonight"
"しまい",姉妹,"Sisters"
"いもうと",妹,"Younger Sister"
"おねえさん",お姉さん,"Older Sister"
"みせ",店,"Shop"
"あかるい",明るい,"Bright"
"ふめい",不明,"Unknown"
"とうほう",東方,"Eastward"
"とうほく",東北,"Tohoku "
"ちゅうとう",中東,"Middle East"
"なんとう",南東,"Southeast"
"あるく",歩く,"To Walk"
"なおす",直す,"To Fix"
"なおる",直る,"To Be Fixed"
"しょうじき",正直,"Honest"
"ちょっこう",直行,"Nonstop"
"ながい",長い,"Long"
"しゃちょう",社長,"Company President"
"まえ",前,"Front"
"ごぜん",午前,"AM"
"みなみ",南,"South"
"うしろ",後ろ,"Behind"
"あとで",後で,"After"
"ごご",午後,"PM"
"おもう",思う,"To Think"
"ほし",星,"Star"
"せいかつ",生活,"Life"
"うみ",海,"Ocean"
"かいがい",海外,"Overseas"
"てん",点,"Point"
"かがく",科学,"Science"
"おちゃ",お茶,"Tea"
"ちゃいろ",茶色,"Brown"
"たべる",食べる,"To Eat"
"くび",首,"Neck"
"あしくび",足首,"Ankle"
"くびになる",首になる,"To Get Fired"
"よんじゅうに",四十二,"Forty Two"
"なくなる",亡くなる,"To Pass Away"
"こもじ",小文字,"Lowercase Letters"
"ふゆやすみ",冬休み,"Winter Holiday"
"できる",出来る,"To Be Able To Do"
"ほうげん",方言,"Dialect"
"とうきょう",東京,"Tokyo"
"はやくち",早口,"Fast Talker"
"たりない",足りない,"Not Enough"
"としうえ",年上,"Older"
"よのなか",世の中,"Society"
"かわり",代わり,"Substitute"
"ことし",今年,"This Year"
"かえる",代える,"To Replace"
"としした",年下,"Younger"
"むく",向く,"To Face"
"ひがし",東,"East"
"わたし",私,"I"
"しせいかつ",私生活,"Personal Life"
"しりつ",私立,"Private"
"こくほう",国宝,"National Treasure"
"たからくじ",宝くじ,"Lottery"
"いっぽ",一歩,"One Step"
"さんびゃく",三百,"Three Hundred"
"たす",足す,"To Add"
"しゃりょう",車両,"Railroad Car"
"はやく",早く,"Early"
"し",死,"Death"
"あね",姉,"Older Sister"
"しつ",〜室,"Room"
"くさち",草地,"Meadow"
"こくおう",国王,"King"
"すいせい",水星,"Mercury"
"きんせい",金星,"Venus"
"どせい",土星,"Saturn"
"かっき",活気,"Energy"
"ちちゅう",地中,"Underground"
"かつよう",活用,"Conjugation"
"かいおうせい",海王星,"Neptune"
"しる",知る,"To Know"
"てくび",手首,"Wrist"
